Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)
2001-01-02,272.8,271.1,183.026,181.617,288.677,287.334
2001-01-03,269.0,267.15,178.916,177.39,281.823,281.655
2001-01-04,268.75,267.1,178.869,178.352,282.538,282.049
2001-01-05,268.0,267.4,178.488,178.148,280.775,280.882
2001-01-08,268.6,268.3,178.769,178.664,282.41,282.481
2001-01-09,267.75,267.0,179.855,179.195,284.507,283.59
2001-01-10,266.7,266.3,178.777,178.665,283.573,283.298
2001-01-11,264.8,264.15,177.302,176.441,279.768,278.053
2001-01-12,263.65,263.7,176.614,177.695,276.711,277.667
2001-01-15,263.35,263.5,178.084,178.294,278.766,279.576
2001-01-16,264.5,264.45,179.871,179.984,281.084,280.882
2001-01-17,263.1,263.5,178.664,179.069,280.341,282.422
2001-01-18,264.1,264.9,179.112,179.715,280.212,281.031
2001-01-19,265.75,264.9,180.169,179.91,281.813,281.958
2001-01-22,266.1,266.15,181.887,182.182,285.515,284.896
2001-01-23,267.1,266.1,181.38,180.811,283.606,282.905
2001-01-24,265.7,264.25,181.18,180.684,284.933,286.047
2001-01-25,263.6,264.9,181.193,182.112,286.99,288.374
2001-01-26,264.5,263.55,180.116,180.576,284.042,285.846
2001-01-29,263.1,262.85,180.243,180.059,285.668,285.769
2001-01-30,263.4,264.95,180.907,181.187,287.617,286.805
2001-01-31,266.2,264.5,182.03,180.855,286.113,283.737
2001-02-01,266.85,267.65,181.198,180.967,283.431,283.979
2001-02-02,268.0,266.7,181.387,181.244,284.894,285.454
2001-02-05,266.25,265.45,180.692,180.21,283.335,282.694
2001-02-06,264.55,262.7,180.26,179.563,283.032,281.867
2001-02-07,262.9,263.15,180.155,180.203,282.536,282.047
2001-02-08,263.4,262.95,181.28,181.998,283.989,286.656
2001-02-09,260.5,259.9,180.277,179.911,282.446,281.125
2001-02-12,260.9,261.1,179.683,179.574,280.9,280.753
2001-02-13,261.5,260.75,179.849,179.456,281.485,282.197
2001-02-14,260.9,260.25,179.103,178.559,283.495,283.404
2001-02-15,259.5,258.55,178.412,178.52,284.228,284.904
2001-02-16,256.7,257.45,176.572,177.063,281.531,280.967
2001-02-19,258.95,259.45,178.279,179.055,281.131,281.613
2001-02-20,258.3,256.25,179.412,177.705,283.846,282.587
2001-02-21,257.3,257.5,178.124,178.225,280.895,281.729
2001-02-22,258.0,258.85,178.918,179.048,284.831,286.149
2001-02-23,259.95,260.45,179.934,179.869,287.174,286.681
2001-02-26,262.8,263.2,181.24,182.019,288.474,288.85
2001-02-27,268.1,268.3,185.601,185.971,292.845,292.043
2001-02-28,265.0,266.7,183.366,185.144,287.512,289.828
2001-03-01,266.7,266.35,184.122,183.247,287.858,286.398
2001-03-02,263.35,263.1,179.638,178.433,281.207,280.73
2001-03-05,261.85,262.5,178.275,178.754,281.076,282.197
